name,rate,votes,location,online_order,book_table,general_sentiment,food_sentiment,service_sentiment,place_sentiment,date_column
Peace Restaurant,2.8/5,109,Shanti Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Swathi Deluxe Restaurant,3.0/5,74,Shanti Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
 'RATED\n  Good place to grab a bite when u are in a hurry. The Indian and south Indian food is good, 'RATED\n  Busy and crowded place, serve nice biryani now, but late delivery...\nMeals are served on banana leaves, Chinese is below average. The fresh juices are refreshing.'), ('Rated 3.5',Positive,Neutral,Neutral,Neutral,
Suryawanshi,4.2/5,444,Indiranagar,Yes,No,Negative,Neutral,Neutral,Neutral,
Portland Steakhouse & Cafe,4.3/5,2040,MG Road,Yes,Yes,Positive,Neutral,Neutral,Neutral,
WOW! Momo,3.7/5,123,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Thalis Of India,3.4/5,21,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Keventers,4.0/5,568,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Utse Kitchen,4.2/5,172,Commercial Street,Yes,No,Positive,Neutral,Neutral,Neutral,
The London Shakes,Not Rated,0,Church Street,Yes,No,Negative,Neutral,Neutral,Neutral,
Shawarma Inc,3.1/5,28,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Alampur Bar And Restaurant,3.7/5,42,Race Course Road,Yes,No,Positive,Neutral,Neutral,Neutral,
SGS Non Veg - Gundu Pulav,3.9/5,55,St. Marks Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Hotel Fanoos,4.0/5,787,Richmond Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Laughing Llama Gastropub,4.3/5,393,Brigade Road,Yes,Yes,Positive,Neutral,Neutral,Neutral,
 'RATED\n  I loved the place not over crowded , ('Rated 4.0', 'RATED\n  Located in the prime location, burger was amazing- one of the best burgers I have tried. Makhni for the golgappa can be improved. In drinks we ordered beer and red wine sangria, the food and drinks was really better than most of the pubs around only issue I had was they didn?t have pints of beer on a Sunday , the food was really delicious I loved the food there and the quantity was really sufficient'),Positive,Neutral,Neutral,Neutral,
Imperial Restaurant,3.9/5,238,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Oregano Pizzeria,3.5/5,60,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
 'RATED\n  Masala cheese garlic bread was mouth watering a must try. Very nice ambience. Even tried their chicken lasagna very tasty and cheesy it was filling.'), ('Rated 1.0', 'RATED\n  The worst pizza I\'ve ever tasted, ('Rated 5.0', ('Rated 5.0', 'RATED\n  The pizzas r so delious each pizzas has its own taste every time I keep trying different pizzas from oregano pizzeria I say wowwwww.I tried there chicken burger & lamb burger out off the world & mayo they serve is killer never tasted such mayo so delious over all the best place I would suggest for people who love pizzas & burgers the quality &quantity is rellay good very reasonable priced keep it up'),Positive,Neutral,Neutral,Neutral,
The Good Grain,4.1/5,54,Residency Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Pasta Street,4.5/5,1621,Cunningham Road,Yes,Yes,Positive,Neutral,Neutral,Neutral,
 ('Rated 4.0', ('Rated 5.0'," """"RATED\n  Been to Pasta Street on Cunningham Road on a number of occasions. Always returned satisfied and happy", they have a great selection of pastas, 'RATED\n  Pretty place in Cunningham road where you can get amazing varieties and flavors of Italian dishes under one roof. They have welcoming and friendly staffs giving a great service. Pastas, raviolis and lasagne in bianco was delicious. Thin crust veggi delight Pizza was hot and tasty too. Bridgetown breeze was refreshing and had mouth watering death by Chocolate dessert. Enjoyed being here:)'),Positive,Positive,Neutral,Neutral,
Chetty's Coffee,3.7/5,18,MG Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Cita Pani,3.9/5,54,Indiranagar,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Crazy Pizza,Not Rated,0,Brigade Road,Yes,No,Negative,Neutral,Neutral,Neutral,
The Waffle Press,4.3/5,116,St. Marks Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Delicacy,3.9/5,306,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
Kareem's,3.6/5,32,Frazer Town,Yes,No,Negative,Neutral,Neutral,Neutral,
Berrylicious Cafe,4.1/5,125,MG Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Mamagoto,4.4/5,2560,Indiranagar,Yes,Yes,Positive,Neutral,Neutral,Neutral,
 ('Rated 5.0', 'RATED\n  Food -4/5\nService & Ambience -3.5/5\nValue for money - 2/5\n\nGood food, a bit congested place and with wait time if no prior booking. The food is nice, although the khow suey didnt come with any condiments /garnish toppings. The noodle bowls have ample quantity sufficing two. Good pan Asian cuisine but highly overpriced for the ambience when compared.')," """"RATED\n  Good food ! Good ambience !\nDumplings are to die for ! It's a little pricy but the service was so good !!\nI would rate this place 5\nTip\nDo make reservations as it can get a bit crowded on weekends"""")", ('Rated 3.0',Positive,Neutral,Neutral,Neutral,
Tayabbs,3.0/5,10,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
Atty's Bakery,4.0/5,73,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
 'RATED\n  Very nice setup, ('Rated 5.0', 'RATED\n  To be honest, ('Rated 5.0', with all the works and modern technology in baking. The chocolate croissants and puffs are my personal favourites, they also have variety of breads and pastries to choose from.'),Positive,Neutral,Neutral,Neutral,
Vijayalakshmi Veg,3.9/5,30,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
Sahana's (Nati Style),3.7/5,47,Wilson Garden,Yes,No,Positive,Neutral,Neutral,Neutral,
The Cake House,3.7/5,29,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Eden Park,4.1/5,612,Cunningham Road,Yes,Yes,Positive,Neutral,Neutral,Neutral,
YumYumDilli,3.6/5,51,Indiranagar,Yes,No,Negative,Neutral,Neutral,Neutral,
Kanti Sweets,3.9/5,100,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Rahhams,3.9/5,847,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
Popat Juice Junction,Not Rated,0,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Marzipan Cafe & Bakery,4.2/5,432,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Bozo's Yum Yums,4.0/5,90,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
" however some chips or frys on the side would have been nice. The crepe nutella was nice."""")", pepper chilly roasted pork, chilly beef, scrumptous sandwiches... Jus to name a few from the vast array of dishes that I have personally cherished...!\nBOZOS YUM YUMS... D name says it all :)\na definite +5!'), ('Rated 5.0', 'RATED\n  Mouth watering lip smacking delicious food home cooked with perfection....\nAlmost close to a decade dining at BOZOS...been wanting to write a review in a while... FINALLY...\nA MUST try thou. .. Chilly cheese omlet,Negative,Neutral,Neutral,Neutral,
Skoolroom,4.3/5,570,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Pind Balluchi,4.0/5,1021,Brigade Road,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Cream Chemistry,3.9/5,148,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
The Brekkie Shop,3.5/5,64,MG Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Maravanthe,3.5/5,12,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
House Of Candy,Not Rated,0,Malleshwaram,Yes,No,Positive,Neutral,Neutral,Neutral,
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,4.0/5,85,Residency Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Haldiram's Express,3.6/5,44,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Hotel Ramprasad,4.2/5,93,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
The Chef's Cake & Bakes,NEW,0,Richmond Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Anna Kuteera,3.8/5,62,St. Marks Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Indian Spice Food,3.6/5,15,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Wangs Kitchen,2.5/5,22,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Lassi Shop,3.8/5,83,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Kitchen of Joy,4.1/5,569,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Desi Vdesi,3.9/5,113,Shanti Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Haji Ali Juice Centre,4.0/5,78,Commercial Street,Yes,No,Positive,Neutral,Neutral,Neutral,
Domino's Pizza,3.9/5,117,MG Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Mama Mia!,4.3/5,422,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Shaadi Ki Biryani,2.8/5,296,Commercial Street,Yes,No,Positive,Neutral,Neutral,Neutral,
Taste of Nepal,3.5/5,22,Koramangala 8th Block,Yes,No,Positive,Neutral,Neutral,Neutral,
Shiro,4.4/5,2229,Lavelle Road,Yes,Yes,Positive,Neutral,Neutral,Neutral,
 ('Rated 4.0', as Indoor seating was completely empty. Must say great ambience. Good food preparation almost on time it was dark theme maintained so I missed to click my dinner. service I felt can be improve was not bad but delay and lack of observation. We enjoyed our weekday dining. Thank you and keep up the good work.'), ('Rated 4.0', 4 to service is because they forgot to serve me the dessert for my combination menu, 'RATED\n  It was a good experience at Shiro, we were suggested to sit outside lounge,Positive,Neutral,Neutral,Neutral,
Five Star Chicken,3.5/5,11,Wilson Garden,Yes,No,Positive,Neutral,Neutral,Neutral,
Thai House,4.2/5,127,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
InnerChef,3.7/5,270,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Karavali Kolimane,3.7/5,28,Wilson Garden,Yes,No,Positive,Neutral,Neutral,Neutral,
Roll Er Dokaan,3.3/5,18,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Durga Sagar,3.3/5,8,Shanti Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Steaming Mugs,3.9/5,241,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
NH7 Refuel,3.5/5,17,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Royanna Military Canteen,NEW,0,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Church Street Social,4.3/5,7544,Church Street,Yes,No,Positive,Neutral,Neutral,Neutral,
Mad Over Donuts,3.9/5,148,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Sheesh Kebab,4.1/5,68,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
Just Shawarma,3.8/5,110,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Bangaliana,3.7/5,11,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
The Belgian Waffle Co.,4.0/5,71,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Slurpy Shakes,Not Rated,0,Domlur,Yes,No,Positive,Neutral,Neutral,Neutral,
Taco Bell,3.8/5,30,Brigade Road,Yes,No,Negative,Neutral,Neutral,Neutral,
Bangalore Masala House,4.2/5,255,Vasanth Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Classic Lassi Shop,3.5/5,43,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Fruit Face,3.6/5,21,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Sweet Truth,4.2/5,50,Koramangala 8th Block,Yes,No,Positive,Neutral,Neutral,Neutral,
Green Theory,4.2/5,2840,Residency Road,Yes,Yes,Negative,Neutral,Neutral,Neutral,
 'RATED\n  As everyone knows , 'RATED\n  Beautiful ambience, great good and great location( being in the heart of the city) pretty much sums it up. The menu is quite robust for a all vegetarian place and have a beautiful way to bring out the great flavour to want more. The low seating area kind of gives it a homely feel to the restaurant.\nAmbience is great for high tea or an early supper and follow through with a conversation.\nUsually it gets busy during the weekends but walking in without a reservation on the weekday is fine. One can expect to shell out about INR 1000 for two over a meal.\nDo try their Herb soup, ('Rated 1.0', this is a vegetarian place. Was forced here by a vegan friend who wanted me to be vegetarian ?for a change? ....well dint work! Extremely cafe style place with lots of mosquitoes- they were kind to offer a repellent to no avail !! I ordered the paneer sizzler I dint fancy it at all. Tried washing it down with a brownie shake which was watery as hell. 2 points only for the staff very courteous. Unfortunately this place isn?t for me.'), ('Rated 4.0',Positive,Neutral,Neutral,Neutral,
Srinidhi Sagar Food Line,3.7/5,129,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Jars,3.8/5,28,Vasanth Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Pabrai's Fresh & Naturelle Icecreams,4.2/5,131,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Ibaco,4.0/5,289,Indiranagar,Yes,No,Negative,Neutral,Neutral,Neutral,
Sreeraj Lassi Bar,3.9/5,61,Shanti Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Hungerbreak 24x7,3.1/5,7,Koramangala 8th Block,Yes,No,Positive,Neutral,Neutral,Neutral,
The Egg Factory,4.2/5,1764,St. Marks Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Firewood Biryani,3.9/5,454,Residency Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Sweet Chariot,3.8/5,111,Cunningham Road,Yes,No,Positive,Neutral,Neutral,Neutral,
 club sandwich and a portion of garlic bread. Everything well cooked and freshly made. We ended our meal with a perfect dessert chocolate souffle, 'RATED\n  Have ordered from here so many times in college for almost everyone?s birthdays. We stick to sweet chariot because it is a safe and best option. We always pick one of the chocolate pastries they have or the blackforest.'), ('Rated 3.5', ('Rated 3.5', which was simply superb. Thumbs up to this place and will always remain one of my favorites.'), ('Rated 3.5',Positive,Neutral,Neutral,Positive,
Venus Biryani,3.0/5,144,Domlur,Yes,No,Positive,Neutral,Neutral,Neutral,
Dolci Desserts,4.3/5,652,Cunningham Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Sangam Sweets,3.1/5,26,Seshadripuram,Yes,No,Positive,Neutral,Neutral,Neutral,
Container Coffee,Not Rated,0,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Kartik's Mithai Shoppe,4.1/5,110,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Desi Deck,3.9/5,96,Brigade Road,Yes,Yes,Positive,Neutral,Neutral,Neutral,
UBCR,3.3/5,5,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Hoppipola,4.3/5,1703,Church Street,Yes,No,Positive,Neutral,Neutral,Neutral,
 the place has got it all! :)\n\nWe ordered Margarita pizza, did I mention," the table is actually a slate for the child in you to doodle away! :)"""")"," """"RATED\n  Hopipola is a place with good food and very average ambiance. The food and beverages here are moderately priced.\nFood : 4.4/5\nAmbiance : 3.2/5\nService : 4.0\nYou can go there just for the food. The food there's Wonderful."""")", truffle fries and BBQ chicken burger. The pizza wasn't all that great but the fries and the burger were amazing. They were both exploding with flavors of spicy, crunchy and cheesy. The way they present the dishes is an added bonus.\n\nOh,Positive,Neutral,Neutral,Neutral,
Hushy's Kitchen,3.5/5,58,Shanti Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
The Cake City,3.2/5,4,Shanti Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Hatti Kaapi,3.8/5,30,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Mount View Fast Food,3.3/5,4,Vasanth Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Chichaba's Taj,3.9/5,442,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
99 Pancakes,4.1/5,41,Church Street,Yes,No,Positive,Neutral,Neutral,Neutral,
Beijing Bites,3.8/5,262,Richmond Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Kabab Korner,3.9/5,205,St. Marks Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Oh My Chaat,3.1/5,18,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
YumYumSouth,3.5/5,38,Indiranagar,Yes,No,Negative,Neutral,Neutral,Neutral,
Foodhall,4.0/5,113,MG Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Ciclo Cafe,4.3/5,1283,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
 'RATED\n  Good ambience, avoid the juice though. Had the watermelon one last week and it is not worth the price they charge. \nService: 3/5\nAmbience: 4/5\nFood: 3/5\nValue for money: 3/5'), ('Rated 3.0',drinks and cycle accessories. Ambience is really cool, efficient service (though you have to call out for them once in a while), and lovely food. I love their banoffee pie (must warn you though it is literally a rush of sugar entering your tummy). Love the way they present the pie. Good place to hang out. However,Positive,Neutral,Neutral,Neutral,
Hotel Empark,3.4/5,16,Wilson Garden,Yes,No,Positive,Neutral,Neutral,Neutral,
Wolf'ish,4.1/5,459,Church Street,Yes,No,Positive,Neutral,Neutral,Neutral,
" """"RATED\n  So we saw this place while walking on church street and give it a try .\nAmbience was nice..very casual and good service.\nWe ordered pizza and a peri peri burger ..great food came pretty early and was really fresh .\nI really enjoyed the food. The only issue I had was they put in a service charge without asking..they haven't mentioned this before hand\nOverall I would go again..."""")", ('Rated 4.0'," """"RATED\n  This is a cozy little spot along Church Street", fries and burgers. The service stood out and the food was fine, ('Rated 4.0', 'RATED\n  I wanted to try out some burgers or subs and I went to this place on Church Street. I ordered a Philly cheese steak hoagie with some fries and a salted caramel milkshake. The hoagie was really tasty and filling. The fries were not crispy enough. The milkshake was really good. This place is new and should be visited for those who want good subs.'),Positive,Neutral,Neutral,Neutral,
Alibaba Cafe and Restaurant,3.9/5,450,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
Infinitea Tea Room & Tea Store,4.3/5,858,Cunningham Road,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Goli Vada Pav No. 1,3.5/5,33,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Ooty Chocolates,3.8/5,55,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Arya Bhavan Sweets,3.2/5,9,Vasanth Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Amande Patisserie,4.2/5,231,Lavelle Road,Yes,No,Negative,Neutral,Neutral,Neutral,
Qissa Khawani,4.4/5,319,Church Street,Yes,No,Positive,Neutral,Neutral,Neutral,
Ayda Persian Kitchen,3.9/5,224,Church Street,Yes,No,Positive,Neutral,Neutral,Neutral,
Sri Krishna Sweets,3.7/5,32,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Tewari Bros Mithai Shoppie,3.8/5,59,Commercial Street,Yes,No,Positive,Neutral,Neutral,Neutral,
Kolkatta Famous Chat,3.7/5,23,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Cookie Man,3.4/5,36,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Cafe Coffee Day,3.3/5,65,Brigade Road,Yes,No,Positive,Neutral,Neutral,Positive,
Kabab Mela,Not Rated,0,Shivajinagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Vinny's,3.9/5,206,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Sagar Delicacy,3.9/5,87,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Platter,2.9/5,26,Residency Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Savera Lassi Shop,Not Rated,0,Shivajinagar,Yes,No,Positive,Neutral,Neutral,Neutral,
The Adukkala Restaurant,3.6/5,40,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Carnival de Goa,4.2/5,980,Ulsoor,Yes,Yes,Positive,Neutral,Neutral,Neutral,
McDonald's,3.7/5,184,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Northern Route,4.1/5,159,St. Marks Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Quench & Crunch,3.6/5,21,Shanti Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
INDULGE by InnerChef,3.5/5,27,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
The Open Box,4.2/5,2270,St. Marks Road,Yes,Yes,Negative,Neutral,Neutral,Neutral,
" """"RATED\n \nA rooftop restaurant in St. Mark's road. Nice", papdi chaat nachos, wedges, a tasty fusion of hummus and samosa. Wedges were standard, open ambience with a pool table. Fairly good selection of items. We ordered hummosa, Mexican croquettes,Positive,Positive,Positive,Neutral,
Double Decker,4.3/5,2651,Brigade Road,No,Yes,Positive,Neutral,Neutral,Neutral,
" """"RATED\n  I got to know about the place from my sister who had a good experience there.so I suggested my friend for birthday as she was new to Bangalore. We went there on Friday night and we booked the table in prior.\nThey gave us a seat behind the screen where sport screening was done.so this was a very dark", ('Rated 4.0'," """"RATED\n  We went for a friend's birthday to this place. That was a weekday probably so there weren't many people. The staff was courteous and service was quick. Food was good", ('Rated 4.0',lonely place somewhere in the corner with no lights,"no proper sound of the music.we asked them to change like 2-3 times but they didn't.It was very difficult to call the waiters everytime we wanted to ordered as no one was paying attention to that corner.\nOverall the experience was bad.\nAs we left the place in approx half and hour."""")",Positive,Positive,Positive,Positive,
Chickpet Donne Biryani House,3.7/5,44,Commercial Street,Yes,No,Positive,Neutral,Neutral,Neutral,
Toscano,4.4/5,1840,Lavelle Road,Yes,Yes,Positive,Neutral,Neutral,Neutral,
 ('Rated 4.0', 'RATED\n  It?s one of the best Italian cuisine restaurants in the city\nI absolutely love the ambience and food and the service too\nNo issues on that\nPrices are high on the other hand\nThey have pure Italian food both veg and non veg\nI chose\n1. Cold coffee: just like any other coffee\n2. Starter: Sicilian starter crispy cheesy rice balls with side salad and fries\nIt?s good but salsa should be served more\n3: main course : we had opted for vegetariana pizza on wheat crust it was to die for yummy\n4: they serve complimentary bread platter with salsa and basil oil it?s good too\n5: deserts: if you miss the dessert you miss everything\nThe presentations are bang on\nWe ordered classic tiramisu which was the best ever\nAnd a chocolate brownie fudge it was delicious too\nRecommended'), ('Rated 5.0', pasta , 'RATED\n  Amazing ambience and food. Food is done up to perfection. One of the oldest Italian place in town. They will never fail to deliver good food!'), ('Rated 4.0',Positive,Neutral,Neutral,Neutral,
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,3.1/5,54,Indiranagar,Yes,No,Negative,Neutral,Neutral,Neutral,
 'RATED\n  There was absolutely nothing to rave about burger, 'RATED\n  Pasta Arrabaita was not really how real Italian Arrabaita is supposed to be (it was too oily and lot of cheese added). But it tasted good. Better to have just called it some other desi version of pasta to be more accurate to the look and taste of it :)'), ('Rated 4.0', coffee (cold) and a pastry... Good food for a reasonable price.. Was tasty and different from what you typically get. Interesting combinations\n\nWill visit this place soon and review the place in more detail... As of now fairly tasty and impressive menu'), pasta was a joke I had to recoock as there was no salt ..and cheese I dought it had any any rating is only for delivery'), ('Rated 3.5',Positive,Neutral,Neutral,Neutral,
Dakshin Biryani & Tiffin,3.4/5,334,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Pizza Stop,3.5/5,73,Lavelle Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Mudpipe Cafe,4.2/5,739,Cunningham Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Baskin Robbins,3.1/5,21,Frazer Town,Yes,No,Negative,Neutral,Neutral,Neutral,
Robin Brown Ice Cream,Not Rated,0,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
Fabcafe,4.1/5,54,MG Road,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Chocolate D'Luxe,4.1/5,183,Lavelle Road,Yes,No,Negative,Neutral,Neutral,Neutral,
Chilli Chicken,3.1/5,7,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
NoLimmits Lounge and Club,4.0/5,2103,Brigade Road,Yes,Yes,Positive,Neutral,Neutral,Neutral,
 'RATED\n  Drinks were not that strong ?. Music was really really good. Live music ?. Must go on Saturday night. Pan flavour hookah was mild but Brain freezer was good.'), the Blue Lagoon cocktail was not up to the mark, and we felt it should have been avoided as an order.\n\nComing to the food, the Barbeque Chicken Pizza didn't come together at all as a pizza and was a major disappointment. When we raised a concern, ('Rated 3.0'," """"RATED\n  No Limmits serves up some fine cocktails. The Long Island Iced Tea was bloody good and so was the Whisky Sour. Definite must-haves if you happen to visit. However",Positive,Neutral,Neutral,Neutral,
Delisias,NEW,0,Brigade Road,No,No,Positive,Neutral,Neutral,Neutral,
Masale Daan,3.2/5,5,Richmond Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Hotel Rangoon,3.7/5,17,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Drunken Monkey,3.5/5,8,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
Mangalore pearl - Seafood Restaurant,4.3/5,94,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
The Wok Shop,3.4/5,7,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Chaitanya Veg,3.2/5,5,Shivajinagar,Yes,No,Positive,Neutral,Neutral,Neutral,
20 Feet High,4.0/5,932,Church Street,Yes,Yes,Positive,Neutral,Neutral,Neutral,
World In A Bowl,2.8/5,34,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Bean Flickers,4.3/5,392,Indiranagar,Yes,No,Positive,Neutral,Neutral,Neutral,
7 Plates,3.9/5,169,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
Munchies,3.9/5,64,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Supreme Biryani,Not Rated,0,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Rasovara,4.3/5,763,Lavelle Road,Yes,Yes,Negative,Neutral,Neutral,Neutral,
Kenz Karam,3.5/5,10,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
Kobe Sizzlers,4.1/5,1117,Brigade Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Cafe Idly,3.7/5,81,Frazer Town,Yes,No,Positive,Neutral,Neutral,Neutral,
 'RATED\n  This tiny and very well maintained place is one of the best restaurant I frequently visit\nThe advantage is that its next to my house\nsaves me from daily hunger :)\nAmbiance is their asset (very funky and contemporary with the trends going on)\n\nFood is the best without any doubt, ('Rated 3.5', 'RATED\n  Absolutely delightful south Indian food.\nsimple in preparation, ('Rated 3.0',Heavenly :)\nTry anything from the menu,everything is equally good\n\nmusic is amazingly well selected and chosen\n\nvery reasonable pricing \n\nWish you good luck for keep doing better and better'),Positive,Positive,Neutral,Positive,
Al Swaad Take Away,3.1/5,12,Richmond Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Niranthara,Not Rated,0,Vasanth Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Mor'ish,4.1/5,114,Richmond Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Ambur Star Briyani,3.7/5,17,Indiranagar,Yes,No,Negative,Neutral,Neutral,Neutral,
Airlines Hotel,4.0/5,867,Lavelle Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Just Bake,3.4/5,6,Ulsoor,Yes,No,Positive,Neutral,Neutral,Neutral,
Pai Vihar,2.8/5,54,Vasanth Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Crunch Pizzas,2.9/5,330,Domlur,Yes,No,Positive,Neutral,Neutral,Neutral,
Eat At Nite,3.2/5,56,Frazer Town,Yes,No,Negative,Neutral,Neutral,Neutral,
